"","terms","short","long"
"cellular protein metabolic process","cellular protein metabolic process",10.0809219076239,4.50863830616573
"cellular respiration","cellular respiration",10,0
"protein metabolic process","protein metabolic process",9.88605664769316,3.56863623584101
"cellular metabolic process","cellular metabolic process",9.63827216398241,0
"organonitrogen compound metabolic proces...","organonitrogen compound metabolic proces...",9,0
"cellular amide metabolic process","cellular amide metabolic process",8.95860731484177,0
"peptide metabolic process","peptide metabolic process",8.30980391997149,0
"amide biosynthetic process","amide biosynthetic process",8.06550154875643,0
"organonitrogen compound biosynthetic pro...","organonitrogen compound biosynthetic pro...",7.76955107862173,0
"peptide biosynthetic process","peptide biosynthetic process",7.74472749489669,0
"cellular macromolecule localization","cellular macromolecule localization",7.56863623584101,3.58502665202918
"translation","translation",7.48148606012211,0
"organic substance metabolic process","organic substance metabolic process",7.46852108295774,0
"energy derivation by oxidation of organi...","energy derivation by oxidation of organi...",7.35654732351381,0
"cellular macromolecule metabolic process","cellular macromolecule metabolic process",7.35654732351381,0
"macromolecule metabolic process","macromolecule metabolic process",7.20760831050175,0
"metabolic process","metabolic process",7.16115090926274,0
"respiratory electron transport chain","respiratory electron transport chain",7,0
"cellular protein localization","cellular protein localization",6.92081875395237,3.39794000867204
"macromolecule localization","macromolecule localization",6.82390874094432,4.95860731484177
"primary metabolic process","primary metabolic process",6.82390874094432,0
"cellular nitrogen compound metabolic pro...","cellular nitrogen compound metabolic pro...",6.61978875828839,0
"nitrogen compound metabolic process","nitrogen compound metabolic process",6.58502665202918,0
"electron transport chain","electron transport chain",6.55284196865778,0
"cellular protein catabolic process","cellular protein catabolic process",6.50863830616573,2.82681373158773
"protein catabolic process","protein catabolic process",6.48148606012211,2.75202673363819
"protein modification by small protein co...","protein modification by small protein co...",6.46852108295774,3.00436480540245
"proteolysis involved in cellular protein...","proteolysis involved in cellular protein...",6.42021640338319,3.06550154875643
"biosynthetic process","biosynthetic process",6.24412514432751,0
"ATP synthesis coupled electron transport","ATP synthesis coupled electron transport",6.16749108729376,0
"single-organism intracellular transport","single-organism intracellular transport",5.85387196432176,4.82390874094432
"cellular biosynthetic process","cellular biosynthetic process",5.85387196432176,0
"oxidative phosphorylation","oxidative phosphorylation",5.82390874094432,0
"RNA localization","RNA localization",5.76955107862173,0
"intracellular transport","intracellular transport",5.76955107862173,5.60205999132796
"ubiquitin-dependent protein catabolic pr...","ubiquitin-dependent protein catabolic pr...",5.76955107862173,2.74957999769111
"protein localization to organelle","protein localization to organelle",5.69897000433602,2.97061622231479
"modification-dependent protein catabolic...","modification-dependent protein catabolic...",5.65757731917779,2.68402965454308
"protein localization","protein localization",5.60205999132796,4.23657200643706
"organic substance biosynthetic process","organic substance biosynthetic process",5.58502665202918,0
"cellular macromolecule catabolic process","cellular macromolecule catabolic process",5.56863623584101,2.47755576649368
"modification-dependent macromolecule cat...","modification-dependent macromolecule cat...",5.52287874528034,2.60205999132796
"mitochondrial ATP synthesis coupled elec...","mitochondrial ATP synthesis coupled elec...",5.48148606012211,0
"macromolecule catabolic process","macromolecule catabolic process",5.3767507096021,2.60554831917378
"generation of precursor metabolites and ...","generation of precursor metabolites and ...",5.2518119729938,0
"macromolecular complex subunit organizat...","macromolecular complex subunit organizat...",5.15490195998574,0
"regulation of protein catabolic process","regulation of protein catabolic process",5.07058107428571,0
"cellular localization","cellular localization",5,4.22914798835786
"macromolecular complex assembly","macromolecular complex assembly",4.95860731484177,0
"positive regulation of cell cycle","positive regulation of cell cycle",4.92081875395237,0
"regulation of proteasomal protein catabo...","regulation of proteasomal protein catabo...",4.79588001734407,0
"cellular macromolecule biosynthetic proc...","cellular macromolecule biosynthetic proc...",4.79588001734407,0
"intracellular protein transport","intracellular protein transport",4.74472749489669,3.85387196432176
"gene expression","gene expression",4.69897000433602,0
"macromolecule biosynthetic process","macromolecule biosynthetic process",4.63827216398241,0
"protein complex assembly","protein complex assembly",4.63827216398241,0
"protein complex biogenesis","protein complex biogenesis",4.63827216398241,0
"regulation of cellular protein catabolic...","regulation of cellular protein catabolic...",4.53760200210104,0
"cellular nitrogen compound biosynthetic ...","cellular nitrogen compound biosynthetic ...",4.50863830616573,0
"cytoplasmic transport","cytoplasmic transport",4.42021640338319,2.62160209905186
"establishment of protein localization","establishment of protein localization",4.3767507096021,4.23657200643706
"regulation of proteolysis involved in ce...","regulation of proteolysis involved in ce...",4.31875876262441,0
"proteasomal protein catabolic process","proteasomal protein catabolic process",4.20065945054642,2.39794000867204
"proteasome-mediated ubiquitin-dependent ...","proteasome-mediated ubiquitin-dependent ...",4.19382002601611,2.33068311943389
"protein complex subunit organization","protein complex subunit organization",4.16749108729376,0
"cellular component biogenesis","cellular component biogenesis",4.16115090926274,0
"aerobic respiration","aerobic respiration",4.13076828026902,0
"regulation of proteasomal ubiquitin-depe...","regulation of proteasomal ubiquitin-depe...",4.10237290870956,0
"cellular component organization or bioge...","cellular component organization or bioge...",4,6.45593195564972
"cellular protein modification process","cellular protein modification process",3.95860731484178,6.95860731484177
"protein modification process","protein modification process",3.95860731484178,6.95860731484177
"single-organism cellular localization","single-organism cellular localization",3.82390874094432,3.69897000433602
"protein transport","protein transport",3.82390874094432,4.19382002601611
"regulation of catabolic process","regulation of catabolic process",3.79588001734407,0
"regulation of cellular amide metabolic p...","regulation of cellular amide metabolic p...",3.79588001734407,0
"regulation of protein phosphatase type 2...","regulation of protein phosphatase type 2...",3.76955107862173,0
"positive regulation of cell cycle proces...","positive regulation of cell cycle proces...",3.74472749489669,0
"macromolecule modification","macromolecule modification",3.69897000433602,6.88605664769316
"N-terminal protein amino acid modificati...","N-terminal protein amino acid modificati...",3.67778070526608,0
"regulation of translation","regulation of translation",3.65757731917779,0
"establishment of protein localization to...","establishment of protein localization to...",3.65757731917779,0
"posttranscriptional regulation of gene e...","posttranscriptional regulation of gene e...",3.56863623584101,0
"regulation of cell cycle process","regulation of cell cycle process",3.49485002168009,0
"negative regulation of transcription fac...","negative regulation of transcription fac...",3.48148606012211,0
"cellular component assembly","cellular component assembly",3.46852108295774,2.41228903498109
"regulation of cellular catabolic process","regulation of cellular catabolic process",3.45593195564972,0
"Rab protein signal transduction","Rab protein signal transduction",3.45593195564972,0
"establishment of localization in cell","establishment of localization in cell",3.45593195564972,4.50863830616573
"RNA processing","RNA processing",3.44369749923271,0
"cellular component organization","cellular component organization",3.42021640338319,6.88605664769316
"cell cycle","cell cycle",3.39794000867204,0
"nucleic acid transport","nucleic acid transport",3.3767507096021,0
"RNA transport","RNA transport",3.3767507096021,0
"establishment of RNA localization","establishment of RNA localization",3.3767507096021,0
"cell division","cell division",3.36653154442041,0
"protein ubiquitination","protein ubiquitination",3.31875876262441,3.02227639471115
"organic substance catabolic process","organic substance catabolic process",3.26760624017703,0
"ATP metabolic process","ATP metabolic process",3.2518119729938,0
"nucleoside monophosphate metabolic proce...","nucleoside monophosphate metabolic proce...",3.2518119729938,0
"positive regulation of cell cycle phase ...","positive regulation of cell cycle phase ...",3.24412514432751,0
"protein modification by small protein re...","protein modification by small protein re...",3.22914798835786,0
"DNA-templated transcription, elongation","DNA-templated transcription, elongation",3.20065945054642,0
"purine ribonucleoside monophosphate meta...","purine ribonucleoside monophosphate meta...",3.15490195998574,0
"purine nucleoside monophosphate metaboli...","purine nucleoside monophosphate metaboli...",3.14266750356873,0
"protein targeting","protein targeting",3.11918640771921,3.08618614761628
"membrane lipid biosynthetic process","membrane lipid biosynthetic process",3.07572071393812,0
"negative regulation of protein catabolic...","negative regulation of protein catabolic...",3.05060999335509,0
"nucleoside triphosphate metabolic proces...","nucleoside triphosphate metabolic proces...",3.03151705144606,0
"protein localization to mitochondrion","protein localization to mitochondrion",3.00877392430751,0
"purine ribonucleoside triphosphate metab...","purine ribonucleoside triphosphate metab...",3,0
"regulation of cell cycle phase transitio...","regulation of cell cycle phase transitio...",2.99567862621736,0
"RNA export from nucleus","RNA export from nucleus",2.99567862621736,0
"rRNA processing","rRNA processing",2.96257350205938,0
"ribonucleoside monophosphate metabolic p...","ribonucleoside monophosphate metabolic p...",2.95860731484178,0
"mitotic nuclear division","mitotic nuclear division",2.94309514866353,0
"regulation of phosphoprotein phosphatase...","regulation of phosphoprotein phosphatase...",2.92081875395238,0
"ribonucleoside triphosphate metabolic pr...","ribonucleoside triphosphate metabolic pr...",2.90657831483776,0
"carbohydrate derivative metabolic proces...","carbohydrate derivative metabolic proces...",2.89962945488244,0
"rRNA metabolic process","rRNA metabolic process",2.89279003035213,0
"cellular process","cellular process",2.87614835903291,0
"purine nucleoside triphosphate metabolic...","purine nucleoside triphosphate metabolic...",2.87614835903291,0
"protein oligomerization","protein oligomerization",2.86012091359876,0
"protein localization to membrane","protein localization to membrane",2.85078088734462,0
"ribonucleoprotein complex localization","ribonucleoprotein complex localization",2.84771165561694,0
"catabolic process","catabolic process",2.84466396253494,0
"regulation of microtubule-based process","regulation of microtubule-based process",2.84466396253494,0
"cell cycle phase transition","cell cycle phase transition",2.79860287567955,0
"regulation of mitotic cell cycle phase t...","regulation of mitotic cell cycle phase t...",2.79317412396815,0
"regulation of protein metabolic process","regulation of protein metabolic process",2.75448733218585,5
"ER to Golgi vesicle-mediated transport","ER to Golgi vesicle-mediated transport",2.74472749489669,0
"negative regulation of nucleocytoplasmic...","negative regulation of nucleocytoplasmic...",2.74472749489669,0
"purine ribonucleoside metabolic process","purine ribonucleoside metabolic process",2.74472749489669,0
"cellular catabolic process","cellular catabolic process",2.74232142513082,0
"regulation of cell cycle","regulation of cell cycle",2.74232142513082,0
"cellular macromolecular complex assembly","cellular macromolecular complex assembly",2.72584215073632,0
"purine nucleoside metabolic process","purine nucleoside metabolic process",2.70553377383841,0
"negative regulation of cytoplasmic trans...","negative regulation of cytoplasmic trans...",2.70333480973847,0
"positive regulation of mitotic cell cycl...","positive regulation of mitotic cell cycl...",2.69680394257951,0
"mitotic sister chromatid separation","mitotic sister chromatid separation",2.69680394257951,0
"translational elongation","translational elongation",2.67985371388895,0
"mitotic cell cycle process","mitotic cell cycle process",2.67571754470231,0
"negative regulation of proteasomal ubiqu...","negative regulation of proteasomal ubiqu...",2.65560772631489,0
"Ras protein signal transduction","Ras protein signal transduction",2.62160209905186,0
"protein deubiquitination","protein deubiquitination",2.60554831917378,0
"protein N-linked glycosylation","protein N-linked glycosylation",2.58502665202918,0
"mitotic cell cycle phase transition","mitotic cell cycle phase transition",2.58502665202918,0
"intracellular protein transmembrane tran...","intracellular protein transmembrane tran...",2.57675412606319,0
"protein polyubiquitination","protein polyubiquitination",2.56224943717961,0
"nuclear export","nuclear export",2.54060751224077,0
"cell cycle process","cell cycle process",2.52870828894106,0
"proteolysis","proteolysis",2.51712641639125,0
"regulation of mitochondrial membrane pot...","regulation of mitochondrial membrane pot...",2.5003129173816,0
"ribonucleoside metabolic process","ribonucleoside metabolic process",2.46470587995723,0
"negative regulation of proteasomal prote...","negative regulation of proteasomal prote...",2.46470587995723,0
"nucleobase-containing compound transport","nucleobase-containing compound transport",2.43533393574791,0
"glycolipid biosynthetic process","glycolipid biosynthetic process",2.4294570601181,0
"organic substance transport","organic substance transport",2.40671393297954,4.24412514432751
"membrane lipid metabolic process","membrane lipid metabolic process",2.39685562737982,0
"single-organism membrane organization","single-organism membrane organization",2.35163998901907,2.68193666503724
"intracellular steroid hormone receptor s...","intracellular steroid hormone receptor s...",2.33629907461035,0
"nucleoside metabolic process","nucleoside metabolic process",2.31966448658544,0
"mitotic cell cycle","mitotic cell cycle",2.31336373073771,0
"negative regulation of protein import in...","negative regulation of protein import in...",2.29499204066666,0
"negative regulation of protein import","negative regulation of protein import",2.29499204066666,0
"nucleobase-containing compound metabolic...","nucleobase-containing compound metabolic...",2.29157909986529,0
"regulation of cellular protein metabolic...","regulation of cellular protein metabolic...",2.2572748686953,4.82390874094432
"glycolipid metabolic process","glycolipid metabolic process",2.25336580106242,0
