GO.ID,Term,Annotated,Significant,Expected,weight0Fisher
GO:0006886,intracellular protein transport,917,390,209.61,2.20E-16
GO:0030433,ER-associated ubiquitin-dpdt prot. cat. proc.,60,40,13.72,5.70E-13
GO:0032482,Rab protein signal transduction,69,39,15.77,1.60E-09
GO:0001731,formation of translation preinitiation complex,21,16,4.8,3.30E-07
GO:0006906,vesicle fusion,72,40,16.46,3.40E-07
GO:0010976,positive regulation of neuron projection,264,104,60.35,3.40E-07
GO:0006915,apoptotic process,1659,529,379.22,9.40E-07
GO:0007420,brain development,733,222,167.55,2.00E-06
GO:0006457,protein folding,189,80,43.2,7.50E-06
GO:0016079,synaptic vesicle exocytosis,78,40,17.83,1.20E-05
GO:0048011,neurotrophin TRK receptor signaling pathway,22,14,5.03,5.00E-05
GO:0060049,regulation of protein glycosylation,11,9,2.51,5.90E-05
GO:0009060,aerobic respiration,54,34,12.34,9.00E-05
