"","GO.ID","Term","Annotated","Significant","Expected","weight0Fisher"
"1","GO:0015031","protein transport",1528,938,693.52,"1.6e-15"
"2","GO:0043161","proteasome-mediated ubiquitin-dependent ...",386,282,175.2,"5.8e-11"
"3","GO:0006886","intracellular protein transport",917,585,416.2,"9.2e-10"
"4","GO:0030433","ER-associated ubiquitin-dependent protei...",60,50,27.23,"1.4e-09"
"5","GO:0032436","positive regulation of proteasomal ubiqu...",70,55,31.77,"1.4e-08"
"6","GO:0042787","protein ubiquitination involved in ubiqu...",112,81,50.83,"5.1e-08"
"7","GO:0070936","protein K48-linked ubiquitination",48,40,21.79,"6.5e-08"
"8","GO:0016567","protein ubiquitination",697,467,316.35,"1.2e-07"
"9","GO:0007067","mitotic nuclear division",281,182,127.54,"1.5e-07"
"10","GO:0006888","ER to Golgi vesicle-mediated transport",67,51,30.41,"2.9e-07"
"11","GO:0043065","positive regulation of apoptotic process",515,311,233.75,"3.2e-07"
"12","GO:0006470","protein dephosphorylation",367,229,166.57,"5.0e-07"
"13","GO:0070979","protein K11-linked ubiquitination",22,21,9.99,"7.7e-07"
"14","GO:0007399","nervous system development",2121,1183,962.67,"8.0e-07"
"15","GO:0051301","cell division",480,289,217.86,"9.4e-07"
"16","GO:0032482","Rab protein signal transduction",69,51,31.32,"1.4e-06"
"17","GO:0071230","cellular response to amino acid stimulus",58,44,26.32,"2.2e-06"
"18","GO:0006906","vesicle fusion",72,54,32.68,"2.4e-06"
"19","GO:0008033","tRNA processing",96,71,43.57,"3.2e-06"
"20","GO:0008283","cell proliferation",1715,913,778.4,"4.7e-06"
"21","GO:0006364","rRNA processing",133,102,60.37,"6.9e-06"
"22","GO:0000122","negative regulation of transcription fro...",679,368,308.18,"7.5e-06"
"23","GO:0043123","positive regulation of I-kappaB kinase/N...",141,86,64,"8.5e-06"
"24","GO:0006383","transcription from RNA polymerase III pr...",38,33,17.25,"1.0e-05"
"25","GO:0006376","mRNA splice site selection",22,20,9.99,"1.0e-05"
"26","GO:0070534","protein K63-linked ubiquitination",34,28,15.43,"1.0e-05"
"27","GO:0051965","positive regulation of synapse assembly",55,41,24.96,"1.0e-05"
"28","GO:0006915","apoptotic process",1659,961,752.98,"1.1e-05"
"29","GO:0000422","mitophagy",161,114,73.07,"1.1e-05"
"30","GO:0042493","response to drug",610,325,276.86,"1.2e-05"
"31","GO:0042147","retrograde transport, endosome to Golgi",57,42,25.87,"1.3e-05"
"32","GO:0030150","protein import into mitochondrial matrix",14,14,6.35,"1.6e-05"
"33","GO:0007049","cell cycle",1265,796,574.15,"1.7e-05"
"34","GO:0010501","RNA secondary structure unwinding",41,32,18.61,"2.0e-05"
"35","GO:0016482","cytoplasmic transport",912,576,413.94,"2.0e-05"
"36","GO:0031647","regulation of protein stability",178,124,80.79,"2.0e-05"
"37","GO:0016226","iron-sulfur cluster assembly",21,19,9.53,"2.0e-05"
"38","GO:0006417","regulation of translation",267,176,121.19,"2.4e-05"
"39","GO:0098779","mitophagy in response to mitochondrial d...",111,72,50.38,"2.7e-05"
"40","GO:0071456","cellular response to hypoxia",135,86,61.27,"2.7e-05"
"41","GO:0000045","autophagosome assembly",77,57,34.95,"2.8e-05"
"42","GO:0050821","protein stabilization",104,68,47.2,"3.0e-05"
"43","GO:0006281","DNA repair",382,243,173.38,"3.2e-05"
"44","GO:2001241","positive regulation of extrinsic apoptot...",13,13,5.9,"3.5e-05"
"45","GO:0090150","establishment of protein localization to...",234,163,106.21,"4.1e-05"
"46","GO:0001649","osteoblast differentiation",199,119,90.32,"4.3e-05"
"47","GO:0061077","chaperone-mediated protein folding",37,29,16.79,"4.3e-05"
"48","GO:0051028","mRNA transport",70,50,31.77,"4.4e-05"
"49","GO:0051865","protein autoubiquitination",47,35,21.33,"4.8e-05"
"50","GO:0045893","positive regulation of transcription, DN...",1365,705,619.54,"5.6e-05"
"51","GO:0034976","response to endoplasmic reticulum stress",200,141,90.78,"5.7e-05"
"52","GO:0051726","regulation of cell cycle",802,517,364.01,"5.8e-05"
"53","GO:0000209","protein polyubiquitination",152,115,68.99,"5.9e-05"
"54","GO:0007346","regulation of mitotic cell cycle",397,250,180.19,"6.0e-05"
"55","GO:0032543","mitochondrial translation",39,30,17.7,"6.0e-05"
"56","GO:0008360","regulation of cell shape",124,78,56.28,"6.2e-05"
"57","GO:0007507","heart development",491,276,222.85,"6.5e-05"
"58","GO:0016310","phosphorylation",2295,1275,1041.65,"7.3e-05"
"59","GO:0051881","regulation of mitochondrial membrane pot...",52,36,23.6,"7.5e-05"
"60","GO:0071243","cellular response to arsenic-containing ...",12,12,5.45,"7.6e-05"
"61","GO:0006366","transcription from RNA polymerase II pro...",1764,929,800.64,"7.6e-05"
"62","GO:0031398","positive regulation of protein ubiquitin...",95,66,43.12,"9.7e-05"
"63","GO:0010976","positive regulation of neuron projection...",264,164,119.82,"0.00010"
"64","GO:0043524","negative regulation of neuron apoptotic ...",148,90,67.17,"0.00011"
"65","GO:0006261","DNA-dependent DNA replication",103,73,46.75,"0.00013"
"66","GO:0032008","positive regulation of TOR signaling",27,22,12.25,"0.00013"
"67","GO:0021766","hippocampus development",85,53,38.58,"0.00015"
"68","GO:0071407","cellular response to organic cyclic comp...",513,263,232.84,"0.00016"
"69","GO:0007032","endosome organization",32,25,14.52,"0.00016"
"70","GO:1903322","positive regulation of protein modificat...",106,77,48.11,"0.00016"
"71","GO:0006390","transcription from mitochondrial promote...",11,11,4.99,"0.00017"
"72","GO:0050790","regulation of catalytic activity",2130,1136,966.76,"0.00017"
"73","GO:0030335","positive regulation of cell migration",411,216,186.54,"0.00017"
"74","GO:0018107","peptidyl-threonine phosphorylation",75,47,34.04,"0.00017"
"75","GO:0010506","regulation of autophagy",156,112,70.8,"0.00019"
"76","GO:0090090","negative regulation of canonical Wnt sig...",90,58,40.85,"0.00021"
"77","GO:0042254","ribosome biogenesis",282,187,127.99,"0.00021"
"78","GO:0060627","regulation of vesicle-mediated transport",384,219,174.29,"0.00023"
"79","GO:0007030","Golgi organization",90,61,40.85,"0.00023"
"80","GO:0006997","nucleus organization",84,60,38.13,"0.00024"
"81","GO:1904030","negative regulation of cyclin-dependent ...",56,42,25.42,"0.00024"
"82","GO:0006099","tricarboxylic acid cycle",26,21,11.8,"0.00024"
"83","GO:0032781","positive regulation of ATPase activity",46,33,20.88,"0.00026"
"84","GO:0006626","protein targeting to mitochondrion",118,86,53.56,"0.00027"
"85","GO:0050650","chondroitin sulfate proteoglycan biosynt...",14,13,6.35,"0.00028"
"86","GO:2000300","regulation of synaptic vesicle exocytosi...",14,13,6.35,"0.00028"
"87","GO:0006515","misfolded or incompletely synthesized pr...",14,13,6.35,"0.00028"
"88","GO:0000920","cell separation after cytokinesis",14,13,6.35,"0.00028"
"89","GO:0071108","protein K48-linked deubiquitination",23,19,10.44,"0.00028"
"90","GO:0000387","spliceosomal snRNP assembly",33,23,14.98,"0.00028"
"91","GO:0000245","spliceosomal complex assembly",42,37,19.06,"0.00031"
"92","GO:0010823","negative regulation of mitochondrion org...",37,28,16.79,"0.00031"
"93","GO:0000466","maturation of 5.8S rRNA from tricistroni...",17,15,7.72,"0.00032"
"94","GO:0007420","brain development",733,394,332.69,"0.00033"
"95","GO:0045727","positive regulation of translation",76,54,34.49,"0.00035"
"96","GO:0071902","positive regulation of protein serine/th...",235,142,106.66,"0.00036"
"97","GO:0046839","phospholipid dephosphorylation",43,29,19.52,"0.00037"
"98","GO:0031397","negative regulation of protein ubiquitin...",85,56,38.58,"0.00037"
