GO.ID,Term,Annotated,Significant,Expected,weight0Fisher
GO:0032259,methylation,328,110,74.21,1.10E-06
GO:0006486,protein glycosylation,223,77,50.45,1.10E-05
GO:0051965,positive regulation of synapse assembly,55,26,12.44,4.90E-05
GO:0006270,DNA replication initiation,23,14,5.2,8.90E-05
GO:0007346,regulation of mitotic cell cycle,397,140,89.82,0.00019
GO:0006261,DNA-dependent DNA replication,103,54,23.3,0.0002
GO:0016310,phosphorylation,2295,658,519.23,0.00026
GO:0006289,nucleotide-excision repair,55,24,12.44,0.00043
GO:0048863,stem cell differentiation,260,81,58.82,0.00057
GO:0016567,protein ubiquitination,697,200,157.69,0.00057
