"","GO.ID","Term","Annotated","Significant","Expected","weight0Fisher"
"1","GO:0015031","protein transport",1528,938,694.98,"2.0e-15"
"2","GO:0043161","proteasome-mediated ubiquitin-dependent ...",386,282,175.57,"6.7e-11"
"3","GO:0006886","intracellular protein transport",917,585,417.08,"1.1e-09"
"4","GO:0030433","ER-associated ubiquitin-dependent protei...",60,50,27.29,"1.5e-09"
"5","GO:0032436","positive regulation of proteasomal ubiqu...",70,55,31.84,"1.5e-08"
"6","GO:0042787","protein ubiquitination involved in ubiqu...",112,81,50.94,"5.6e-08"
"7","GO:0070936","protein K48-linked ubiquitination",48,40,21.83,"7.0e-08"
"8","GO:0016567","protein ubiquitination",697,467,317.02,"1.4e-07"
"9","GO:0007067","mitotic nuclear division",281,182,127.81,"1.7e-07"
"10","GO:0006888","ER to Golgi vesicle-mediated transport",67,51,30.47,"3.1e-07"
"11","GO:0043065","positive regulation of apoptotic process",515,311,234.24,"3.7e-07"
"12","GO:0006470","protein dephosphorylation",367,229,166.92,"5.4e-07"
"13","GO:0070979","protein K11-linked ubiquitination",22,21,10.01,"8.0e-07"
"14","GO:0007399","nervous system development",2121,1186,964.7,"8.7e-07"
"15","GO:0051301","cell division",480,289,218.32,"1.0e-06"
"16","GO:0032482","Rab protein signal transduction",69,51,31.38,"1.5e-06"
"17","GO:0071230","cellular response to amino acid stimulus",58,44,26.38,"2.4e-06"
"18","GO:0006906","vesicle fusion",72,54,32.75,"2.5e-06"
"19","GO:0008033","tRNA processing",96,71,43.66,"3.3e-06"
"20","GO:0008283","cell proliferation",1715,915,780.04,"5.2e-06"
"21","GO:0006364","rRNA processing",133,102,60.49,"7.4e-06"
"22","GO:0042493","response to drug",610,326,277.45,"9.2e-06"
"23","GO:0000122","negative regulation of transcription fro...",679,368,308.83,"9.4e-06"
"24","GO:0043123","positive regulation of I-kappaB kinase/N...",141,86,64.13,"9.4e-06"
"25","GO:0006383","transcription from RNA polymerase III pr...",38,33,17.28,"1.0e-05"
"26","GO:0006376","mRNA splice site selection",22,20,10.01,"1.1e-05"
"27","GO:0070534","protein K63-linked ubiquitination",34,28,15.46,"1.1e-05"
"28","GO:0051965","positive regulation of synapse assembly",55,41,25.02,"1.1e-05"
"29","GO:0000422","mitophagy",161,114,73.23,"1.1e-05"
"30","GO:0006915","apoptotic process",1659,964,754.57,"1.2e-05"
"31","GO:0042147","retrograde transport, endosome to Golgi",57,42,25.93,"1.4e-05"
"32","GO:0030150","protein import into mitochondrial matrix",14,14,6.37,"1.6e-05"
"33","GO:0007049","cell cycle",1265,796,575.36,"1.8e-05"
"34","GO:0010501","RNA secondary structure unwinding",41,32,18.65,"2.1e-05"
"35","GO:0016226","iron-sulfur cluster assembly",21,19,9.55,"2.1e-05"
"36","GO:0016482","cytoplasmic transport",912,576,414.81,"2.1e-05"
"37","GO:0031647","regulation of protein stability",178,124,80.96,"2.1e-05"
"38","GO:0006417","regulation of translation",267,176,121.44,"2.6e-05"
"39","GO:0098779","mitophagy in response to mitochondrial d...",111,72,50.49,"2.9e-05"
"40","GO:0071456","cellular response to hypoxia",135,86,61.4,"3.0e-05"
"41","GO:0000045","autophagosome assembly",77,57,35.02,"3.0e-05"
"42","GO:0050821","protein stabilization",104,68,47.3,"3.3e-05"
"43","GO:0006281","DNA repair",382,243,173.75,"3.4e-05"
"44","GO:2001241","positive regulation of extrinsic apoptot...",13,13,5.91,"3.5e-05"
"45","GO:0045893","positive regulation of transcription, DN...",1365,706,620.85,"3.7e-05"
"46","GO:0090150","establishment of protein localization to...",234,163,106.43,"4.2e-05"
"47","GO:0061077","chaperone-mediated protein folding",37,29,16.83,"4.5e-05"
"48","GO:0051028","mRNA transport",70,50,31.84,"4.5e-05"
"49","GO:0001649","osteoblast differentiation",199,120,90.51,"4.6e-05"
"50","GO:0051865","protein autoubiquitination",47,35,21.38,"5.1e-05"
"51","GO:0034976","response to endoplasmic reticulum stress",200,141,90.97,"6.0e-05"
"52","GO:0051726","regulation of cell cycle",802,517,364.78,"6.2e-05"
"53","GO:0000209","protein polyubiquitination",152,115,69.13,"6.2e-05"
"54","GO:0050790","regulation of catalytic activity",2130,1139,968.79,"6.3e-05"
"55","GO:0032543","mitochondrial translation",39,30,17.74,"6.3e-05"
"56","GO:0007346","regulation of mitotic cell cycle",397,250,180.57,"6.3e-05"
"57","GO:0008360","regulation of cell shape",124,78,56.4,"6.8e-05"
"58","GO:0007507","heart development",491,276,223.32,"7.1e-05"
"59","GO:0071243","cellular response to arsenic-containing ...",12,12,5.46,"7.8e-05"
"60","GO:0051881","regulation of mitochondrial membrane pot...",52,36,23.65,"7.9e-05"
"61","GO:0016310","phosphorylation",2295,1277,1043.84,"8.0e-05"
"62","GO:0006366","transcription from RNA polymerase II pro...",1764,930,802.32,"8.0e-05"
