GO.ID,Term,Annotated,Significant,Expected,weight0Fisher
GO:0015031,protein transport,1528,938,694.98,2.00E-15
GO:0043161,proteasome-mediated ubiquitin-dpdt prot. cat. process,386,282,175.57,6.70E-11
GO:0007067,mitotic nuclear division,281,182,127.81,1.70E-07
GO:0006888,ER to Golgi vesicle-mediated transport,67,51,30.47,3.10E-07
GO:0043065,positive regulation of apoptotic process,515,311,234.24,3.70E-07
GO:0006470,protein dephosphorylation,367,229,166.92,5.40E-07
GO:0007399,nervous system development,2121,1186,964.7,8.70E-07
GO:0032482,Rab protein signal transduction,69,51,31.38,1.50E-06
GO:0006906,vesicle fusion,72,54,32.75,2.50E-06
GO:0008033,tRNA processing,96,71,43.66,3.30E-06
GO:0051965,positive regulation of synapse assembly,55,41,25.02,1.10E-05
GO:0006915,apoptotic process,1659,964,754.57,1.20E-05
GO:0042147,"retrograde transport, endosome to Golgi",57,42,25.93,1.40E-05
