"","uniqueID","txID","geneSymbol","NGF.cb.1.raw","NGF.cb.2.raw","NGF.axon.1.raw","NGF.axon.2.raw"
"ENSRNOT00000019623.0","ENSRNOT00000019623.0","ENSRNOT00000019623","Pcmt1",833.634085213032,803.759398496241,45.1127819548872,146.315789473684
"ENSRNOT00000011983.1","ENSRNOT00000011983.1","ENSRNOT00000011983","Slc18a2",174.185463659148,118.997493734336,61.1528822055138,0
"ENSRNOT00000013851.1","ENSRNOT00000013851.1","ENSRNOT00000013851","Rab30",136.140350877193,118.245614035088,144.360902255639,0
"ENSRNOT00000026595.1","ENSRNOT00000026595.1","ENSRNOT00000026595","Btbd1",1727.41854636591,1598.34586466165,381.854636591479,113.233082706767
"ENSRNOT00000028028.1","ENSRNOT00000028028.1","ENSRNOT00000028028","Sdhaf2",808.972431077694,730.47619047619,258.997493734336,41.0526315789474
"ENSRNOT00000028703.1","ENSRNOT00000028703.1","ENSRNOT00000028703","Cebpg",402.556390977444,332.280701754386,266.365914786967,166.365914786967
"ENSRNOT00000033858.1","ENSRNOT00000033858.1","ENSRNOT00000033858","Lrrc28",101.203007518797,74.1353383458647,84.2105263157895,4.01002506265664
"ENSRNOT00000039133.1","ENSRNOT00000039133.1","ENSRNOT00000039133","Myrf",27.6691729323308,17.7443609022556,101.203007518797,0
"ENSRNOT00000056024.2","ENSRNOT00000056024.2","ENSRNOT00000056024","Svip",809.724310776942,824.862155388471,343.859649122807,292.681704260652
"ENSRNOT00000065288.1","ENSRNOT00000065288.1","ENSRNOT00000065288","Nrip3",245.413533834586,211.478696741855,90.2255639097744,112.230576441103
"ENSRNOT00000005848.0","ENSRNOT00000005848.0","ENSRNOT00000005848","Abca5",288.220551378446,387.518796992481,127.318295739348,0
"ENSRNOT00000000263.1","ENSRNOT00000000263.1","ENSRNOT00000000263","Amz2",278.59649122807,248.471177944862,1.00250626566416,47.1177944862155
"ENSRNOT00000003412.1","ENSRNOT00000003412.1","ENSRNOT00000003412","Litaf",64.1604010025063,58.0952380952381,56.0902255639098,0
"ENSRNOT00000003439.1","ENSRNOT00000003439.1","ENSRNOT00000003439","RGD1309748",66.0651629072682,68.9724310776942,175.438596491228,0
"ENSRNOT00000003473.2","ENSRNOT00000003473.2","ENSRNOT00000003473","Sap30l",540.651629072682,382.105263157895,93.2330827067669,17.9448621553885
"ENSRNOT00000004217.1","ENSRNOT00000004217.1","ENSRNOT00000004217","Bfar",107.167919799499,118.095238095238,2.00501253132832,235.488721804511
"ENSRNOT00000004290.1","ENSRNOT00000004290.1","ENSRNOT00000004290","Timp2",382.556390977444,263.508771929825,12.0300751879699,22.9573934837093
"ENSRNOT00000004373.1","ENSRNOT00000004373.1","ENSRNOT00000004373","C1qtnf1",208.320802005013,134.887218045113,36.0902255639098,23.0576441102757
"ENSRNOT00000005293.2","ENSRNOT00000005293.2","ENSRNOT00000005293","Map2k4",1587.26817042607,1683.10776942356,888.471177944862,418.59649122807
"ENSRNOT00000006356.1","ENSRNOT00000006356.1","ENSRNOT00000006356","Sec24a",50.9273182957393,54.0350877192982,258.395989974937,0
"ENSRNOT00000009943.1","ENSRNOT00000009943.1","ENSRNOT00000009943","Mtmr4",689.974937343358,554.786967418546,22.0551378446115,112.03007518797
"ENSRNOT00000023628.1","ENSRNOT00000023628.1","ENSRNOT00000023628","Hspa4",874.586466165413,717.894736842105,70.125313283208,10.9774436090226
"ENSRNOT00000027116.1","ENSRNOT00000027116.1","ENSRNOT00000027116","Mlx",410.426065162907,432.932330827068,3.00751879699248,166.315789473684
"ENSRNOT00000027957.1","ENSRNOT00000027957.1","ENSRNOT00000027957","G6PC",1107.21804511278,951.228070175439,132.18045112782,156.290726817043
"ENSRNOT00000028053.2","ENSRNOT00000028053.2","ENSRNOT00000028053","AABR06065588.2",175.989974937343,136.240601503759,147.368421052632,73.0325814536341
"ENSRNOT00000031045.1","ENSRNOT00000031045.1","ENSRNOT00000031045","Npepps",302.305764411028,253.984962406015,12.0300751879699,10.0250626566416
"ENSRNOT00000032388.2","ENSRNOT00000032388.2","ENSRNOT00000032388","Nog",136.842105263158,66.1152882205514,32.0802005012531,9.02255639097744
"ENSRNOT00000035513.1","ENSRNOT00000035513.1","ENSRNOT00000035513","Hn1l",55.1378446115288,28.0701754385965,0,51.1278195488722
"ENSRNOT00000045902.1","ENSRNOT00000045902.1","ENSRNOT00000045902","Slc16a6",43.9598997493734,69.9248120300752,70.0751879699248,0
"ENSRNOT00000050061.2","ENSRNOT00000050061.2","ENSRNOT00000050061","Usp22",228.421052631579,200.300751879699,2.00501253132832,225.213032581454
"ENSRNOT00000065229.1","ENSRNOT00000065229.1","ENSRNOT00000065229","Sept8",1026.2656641604,1054.73684210526,3.00751879699248,125.31328320802
"ENSRNOT00000002222.1","ENSRNOT00000002222.1","ENSRNOT00000002222","Wrb",329.473684210526,356.541353383459,25.9649122807018,197.443609022556
"ENSRNOT00000002395.1","ENSRNOT00000002395.1","ENSRNOT00000002395","Rnf168",163.809523809524,186.666666666667,0,137.293233082707
