"","uniqueID","txID","geneSymbol","NGF.cb.1.raw","NGF.cb.2.raw","NGF.axon.1.raw","NGF.axon.2.raw"
"ENSRNOT00000016916.2","ENSRNOT00000016916.2","ENSRNOT00000016916","Vimp",38.9974937343358,40.1002506265664,0,189.473684210526
"ENSRNOT00000020889.10","ENSRNOT00000020889.10","ENSRNOT00000020889","LOC100125364",47.0175438596491,95.8897243107769,0,182.105263157895
"ENSRNOT00000024074.3","ENSRNOT00000024074.3","ENSRNOT00000024074","Dctpp1",17.9949874686717,30.0751879699248,65.1629072681704,0
"ENSRNOT00000028331.3","ENSRNOT00000028331.3","ENSRNOT00000028331","Frmd8",179.197994987469,220.100250626566,117.19298245614,1.00250626566416
"ENSRNOT00000028331.4","ENSRNOT00000028331.4","ENSRNOT00000028331","Frmd8",984.06015037594,912.431077694236,88.1704260651629,107.268170426065
"ENSRNOT00000028535.4","ENSRNOT00000028535.4","ENSRNOT00000028535","Stx3",70.2756892230576,96.1904761904762,0,134.335839598997
"ENSRNOT00000074100.2","ENSRNOT00000074100.2","ENSRNOT00000074100","Cstf2t",13.0325814536341,24.0601503759398,0,61.1027568922306
"ENSRNOT00000074100.3","ENSRNOT00000074100.3","ENSRNOT00000074100","Cstf2t",27.0676691729323,45.1127819548872,0,111.177944862155
"ENSRNOT00000050232.7","ENSRNOT00000050232.7","ENSRNOT00000050232","Nxn",25.0125313283208,30.0250626566416,80.2005012531328,0
"ENSRNOT00000057953.5","ENSRNOT00000057953.5","ENSRNOT00000057953","Kcnj12",61.0526315789474,102.055137844612,351.428571428571,1.00250626566416
"ENSRNOT00000076664.3","ENSRNOT00000076664.3","ENSRNOT00000076664","Ebf1",207.268170426065,202.756892230576,10.0250626566416,39.0977443609023
"ENSRNOT00000042864.5","ENSRNOT00000042864.5","ENSRNOT00000042864","Gtf2e1",17.0426065162907,14.0350877192982,276.641604010025,0
"ENSRNOT00000071586.6","ENSRNOT00000071586.6","ENSRNOT00000071586","Fgf12",11.8796992481203,15.9899749373434,70.0250626566416,0
"ENSRNOT00000001468.5","ENSRNOT00000001468.5","ENSRNOT00000001468","N4bp2l2",29.0726817042606,40.0501253132832,100.250626566416,0
"ENSRNOT00000001953.6","ENSRNOT00000001953.6","ENSRNOT00000001953","Ssc4d",21.0526315789474,23.0075187969925,40.1002506265664,13.0325814536341
"ENSRNOT00000006502.5","ENSRNOT00000006502.5","ENSRNOT00000006502","Dyrk3",15.9398496240601,22.8070175438596,81.203007518797,0
"ENSRNOT00000011991.7","ENSRNOT00000011991.7","ENSRNOT00000011991","Csrp1",22.0050125313283,32.9323308270677,83.2080200501253,0
"ENSRNOT00000003173.5","ENSRNOT00000003173.5","ENSRNOT00000003173","Hnrpd",185.413533834586,185.062656641604,66.1654135338346,1.00250626566416
"ENSRNOT00000012304.7","ENSRNOT00000012304.7","ENSRNOT00000012304","Hmx1",45.8646616541353,71.5789473684211,0,108.170426065163
"ENSRNOT00000068682.2","ENSRNOT00000068682.2","ENSRNOT00000068682","Ankrd17",1076.29072681704,1105.91478696742,70.125313283208,389.874686716792
"ENSRNOT00000010476.6","ENSRNOT00000010476.6","ENSRNOT00000010476","Ppp3cb",224.461152882206,221.503759398496,24.0601503759398,261.553884711779
"ENSRNOT00000057789.5","ENSRNOT00000057789.5","ENSRNOT00000057789","Fbxl3",11.0275689223058,22.0551378446115,55.0375939849624,0
"ENSRNOT00000020750.3","ENSRNOT00000020750.3","ENSRNOT00000020750","Actr8",10.0250626566416,13.0325814536341,0,200.451127819549
"ENSRNOT00000065327.4","ENSRNOT00000065327.4","ENSRNOT00000065327","Mtmr7",304.110275689223,238.847117794486,62.0551378446115,2.00501253132832
"ENSRNOT00000022462.6","ENSRNOT00000022462.6","ENSRNOT00000022462","Mtpap",26.9674185463659,41.0526315789474,222.556390977444,0
"ENSRNOT00000039621.5","ENSRNOT00000039621.5","ENSRNOT00000039621","Sec61a2",461.052631578947,422.907268170426,2.75689223057644,157.694235588972
"ENSRNOT00000024328.0","ENSRNOT00000024328.0","ENSRNOT00000024328","Fech",163.007518796992,155.689223057644,19.9498746867168,10.9774436090226
"ENSRNOT00000004784.6","ENSRNOT00000004784.6","ENSRNOT00000004784","Fem1c",41.0025062656642,39.0476190476191,119.097744360902,1.00250626566416
"ENSRNOT00000026227.2","ENSRNOT00000026227.2","ENSRNOT00000026227","Ablim3",11.9799498746867,20.6516290726817,163.308270676692,8.02005012531328
"ENSRNOT00000027771.4","ENSRNOT00000027771.4","ENSRNOT00000027771","Camk4",68.0200501253133,66.8671679197995,108.922305764411,2.00501253132832
"ENSRNOT00000046847.7","ENSRNOT00000046847.7","ENSRNOT00000046847","Smad2",41.0025062656642,37.0426065162907,0,97.2431077694236
"ENSRNOT00000071471.5","ENSRNOT00000071471.5","ENSRNOT00000071471","LOC100360750",97.0426065162907,100.701754385965,657.042606516291,1.00250626566416
"ENSRNOT00000074446.0","ENSRNOT00000074446.0","ENSRNOT00000074446","Sub1",6816.24060150376,6905.9649122807,1539.44862155388,1145.46365914787
"ENSRNOT00000022778.0","ENSRNOT00000022778.0","ENSRNOT00000022778","Commd2",88.1704260651629,116.240601503759,0.75187969924812,95.7894736842105
"ENSRNOT00000015871.2","ENSRNOT00000015871.2","ENSRNOT00000015871","Rab3c",68.3709273182957,50.8270676691729,2.00501253132832,172.431077694236
"ENSRNOT00000017770.6","ENSRNOT00000017770.6","ENSRNOT00000017770","Sh3glb1",185.46365914787,128.270676691729,115.288220551378,109.172932330827
"ENSRNOT00000019190.8","ENSRNOT00000019190.8","ENSRNOT00000019190","Extl2",1070.42606516291,1040.45112781955,3.00751879699248,119.197994987469
"ENSRNOT00000019190.9","ENSRNOT00000019190.9","ENSRNOT00000019190","Extl2",436.441102756892,406.165413533835,2.00501253132832,65.1127819548872
"ENSRNOT00000019225.6","ENSRNOT00000019225.6","ENSRNOT00000019225","Kif2a",230.726817042607,196.541353383459,1.00250626566416,227.268170426065
"ENSRNOT00000021920.4","ENSRNOT00000021920.4","ENSRNOT00000021920","LOC100911417",1508.0701754386,1763.75939849624,13069.9248120301,4043.00751879699
"ENSRNOT00000022055.4","ENSRNOT00000022055.4","ENSRNOT00000022055","Hmgcr",442.65664160401,340.601503759398,157.393483709273,0
"ENSRNOT00000022150.7","ENSRNOT00000022150.7","ENSRNOT00000022150","Cd1d1",1.95488721804511,8.97243107769423,344.511278195489,535.839598997494
"ENSRNOT00000022150.9","ENSRNOT00000022150.9","ENSRNOT00000022150","Cd1d1",2.00501253132832,4.01002506265664,162.406015037594,266.5664160401
"ENSRNOT00000046069.5","ENSRNOT00000046069.5","ENSRNOT00000046069","Nup155",156.09022556391,214.83709273183,54.1353383458647,0
"ENSRNOT00000046069.6","ENSRNOT00000046069.6","ENSRNOT00000046069","Nup155",241.102756892231,204.561403508772,65.7644110275689,28.0701754385965
"ENSRNOT00000046069.8","ENSRNOT00000046069.8","ENSRNOT00000046069","Nup155",270.375939849624,275.388471177945,4.01002506265664,134.235588972431
"ENSRNOT00000047836.5","ENSRNOT00000047836.5","ENSRNOT00000047836","Rap1a",109.022556390977,120.902255639098,0,73.0827067669173
"ENSRNOT00000067113.4","ENSRNOT00000067113.4","ENSRNOT00000067113","Gria2",1162.10526315789,1273.58395989975,6.01503759398496,86.1152882205514
"ENSRNOT00000067113.11","ENSRNOT00000067113.11","ENSRNOT00000067113","Gria2",210.275689223058,265.263157894737,12.0300751879699,21.0526315789474
