"","uniqueID","geneSymbol","imIDp","newL","axon","cb"
"ENSRNOT00000028703.0","ENSRNOT00000028703.0","Cebpg","ENSRNOT00000028703.1",2720,0.622641679157364,0.0815725902374469
"ENSRNOT00000033858.0","ENSRNOT00000033858.0","Lrrc28","ENSRNOT00000033858.1",1635,0.543364681295716,0.0951161252688266
"ENSRNOT00000026595.0","ENSRNOT00000026595.0","Btbd1","ENSRNOT00000026595.1",1493,0.64796033220388,0.198899535266851
"ENSRNOT00000065288.0","ENSRNOT00000065288.0","Nrip3","ENSRNOT00000065288.1",3060,0.466627125635463,0.0574964419610531
"ENSRNOT00000039133.0","ENSRNOT00000039133.0","Myrf","ENSRNOT00000039133.1",2102,0.118222274270992,0.0656689455584309
"ENSRNOT00000011983.2","ENSRNOT00000011983.2","Slc18a2","ENSRNOT00000011983.1",1056,0.472136222910217,0.103316794772367
"ENSRNOT00000011983.4","ENSRNOT00000011983.4","Slc18a2","ENSRNOT00000011983.1",1622,0.401315789473684,0.0495151607492023
"ENSRNOT00000013851.5","ENSRNOT00000013851.5","Rab30","ENSRNOT00000013851.1",8667,0.5,0.179169185926566
"ENSRNOT00000019623.2","ENSRNOT00000019623.2","Pcmt1","ENSRNOT00000019623.0",824,0.368966268451505,0.137839008340216
"ENSRNOT00000019623.3","ENSRNOT00000019623.3","Pcmt1","ENSRNOT00000019623.0",1605,0.312535911155801,0.0858841874392569
"ENSRNOT00000028028.4","ENSRNOT00000028028.4","Sdhaf2","ENSRNOT00000028028.1",1193,0.659935306797642,0.181507937875931
"ENSRNOT00000028703.3","ENSRNOT00000028703.3","Cebpg","ENSRNOT00000028703.1",2365,0.696233278213673,0.084839199395062
"ENSRNOT00000056024.4","ENSRNOT00000056024.4","Svip","ENSRNOT00000056024.2",4976,0.620689446087439,0.172271975909591
"ENSRNOT00000065288.5","ENSRNOT00000065288.5","Nrip3","ENSRNOT00000065288.1",1621,0.972089882582436,0.199226959162689
"ENSRNOT00000004217.0","ENSRNOT00000004217.0","Bfar","ENSRNOT00000004217.1",1236,0.527010578695831,0.0284532896997083
"ENSRNOT00000003412.0","ENSRNOT00000003412.0","Litaf","ENSRNOT00000003412.1",1464,0.23717676981772,0.135030021473026
"ENSRNOT00000000263.0","ENSRNOT00000000263.0","Amz2","ENSRNOT00000000263.1",1499,0.174911458200627,0.0637103392590724
"ENSRNOT00000004373.0","ENSRNOT00000004373.0","C1qtnf1","ENSRNOT00000004373.1",1539,0.869090909090909,0.123554152672979
"ENSRNOT00000035513.0","ENSRNOT00000035513.0","Hn1l","ENSRNOT00000035513.1",2135,0.142577578976796,0.015863010212028
"ENSRNOT00000009943.0","ENSRNOT00000009943.0","Mtmr4","ENSRNOT00000009943.1",2036,0.524069461002559,0.125673738453444
"ENSRNOT00000003412.2","ENSRNOT00000003412.2","Litaf","ENSRNOT00000003412.1",1050,0.474554707379135,0.190689859662329
"ENSRNOT00000003439.2","ENSRNOT00000003439.2","RGD1309748","ENSRNOT00000003439.1",1387,0.468164794007491,0.1064672734444
"ENSRNOT00000003473.5","ENSRNOT00000003473.5","Sap30l","ENSRNOT00000003473.2",4795,0.553643532494407,0.0974541506459465
"ENSRNOT00000004290.3","ENSRNOT00000004290.3","Timp2","ENSRNOT00000004290.1",1472,0.346780325226718,0.107078184557802
"ENSRNOT00000005293.4","ENSRNOT00000005293.4","Map2k4","ENSRNOT00000005293.2",2377,0.729422645757126,0.079237146928883
"ENSRNOT00000005848.5","ENSRNOT00000005848.5","Abca5","ENSRNOT00000005848.0",2843,0.371453641415618,0.140719872754527
"ENSRNOT00000006356.7","ENSRNOT00000006356.7","Sec24a","ENSRNOT00000006356.1",2868,0.490485252140818,0.0339220042190154
"ENSRNOT00000023628.2","ENSRNOT00000023628.2","Hspa4","ENSRNOT00000023628.1",1337,0.302546930284157,0.148799350112028
"ENSRNOT00000027116.4","ENSRNOT00000027116.4","Mlx","ENSRNOT00000027116.1",1082,0.474258281674096,0.152718910629155
"ENSRNOT00000027957.3","ENSRNOT00000027957.3","G6PC","ENSRNOT00000027957.1",1505,0.459170204932479,0.127004220993739
"ENSRNOT00000028053.4","ENSRNOT00000028053.4","AABR06065588.2","ENSRNOT00000028053.2",3868,0.675673806111902,0.130035446461637
"ENSRNOT00000031045.3","ENSRNOT00000031045.3","Npepps","ENSRNOT00000031045.1",574,0.344411754022737,0.103403615747454
"ENSRNOT00000032388.3","ENSRNOT00000032388.3","Nog","ENSRNOT00000032388.2",684,0.570958904109589,0.187965657254023
"ENSRNOT00000035513.2","ENSRNOT00000035513.2","Hn1l","ENSRNOT00000035513.1",1797,0.392307692307693,0.0490353547475476
"ENSRNOT00000045902.5","ENSRNOT00000045902.5","Slc16a6","ENSRNOT00000045902.1",2107,0.466622162883845,0.0808897619906008
"ENSRNOT00000050061.3","ENSRNOT00000050061.3","Usp22","ENSRNOT00000050061.2",1691,0.601557716369832,0.107284171868485
"ENSRNOT00000065229.5","ENSRNOT00000065229.5","Sept8","ENSRNOT00000065229.1",7690,0.554827306062403,0.175642848896791
"ENSRNOT00000065229.8","ENSRNOT00000065229.8","Sept8","ENSRNOT00000065229.1",8127,0.591417910447761,0.193644192286479
"ENSRNOT00000002222.0","ENSRNOT00000002222.0","Wrb","ENSRNOT00000002222.1",1811,0.715312179714177,0.135874710621501
"ENSRNOT00000002545.0","ENSRNOT00000002545.0","Hic2","ENSRNOT00000002545.1",2425,0.783208020050126,0.0835165311730395
"ENSRNOT00000002222.4","ENSRNOT00000002222.4","Wrb","ENSRNOT00000002222.1",1308,0.829306166556583,0.165098350978475
"ENSRNOT00000002395.5","ENSRNOT00000002395.5","Rnf168","ENSRNOT00000002395.1",1555,0.496375498368974,0.173429196336721
"ENSRNOT00000068345.6","ENSRNOT00000068345.6","Naa50","ENSRNOT00000068345.1",3448,0.538830828526883,0.149546495541358
"ENSRNOT00000001295.4","ENSRNOT00000001295.4","Bri3bp","ENSRNOT00000001295.1",5552,0.4946539110861,0.0493413057524479
"ENSRNOT00000042095.4","ENSRNOT00000042095.4","LOC100912059","ENSRNOT00000042095.2",2416,0.825390521577972,0.073212792977187
"ENSRNOT00000044038.3","ENSRNOT00000044038.3","Usp12","ENSRNOT00000044038.1",2211,0.467105263157895,0.0258355854665237
"ENSRNOT00000061229.3","ENSRNOT00000061229.3","Ubl3","ENSRNOT00000061229.1",1010,0.47532746485626,0.0775191489456387
"ENSRNOT00000003460.0","ENSRNOT00000003460.0","Mrps14","ENSRNOT00000003460.1",848,0.660965663150497,0.191321466658972
"ENSRNOT00000006671.4","ENSRNOT00000006671.4","Ppp1r12b","ENSRNOT00000006671.1",5945,0.352941176470588,0.0178480431423678
"ENSRNOT00000017784.5","ENSRNOT00000017784.5","Kif26b","ENSRNOT00000017784.0",6871,0.550600839276285,0.115303656011888
"ENSRNOT00000043004.3","ENSRNOT00000043004.3","Pbx1","ENSRNOT00000043004.2",2926,0.959202879568453,0.125787904523351
